id,user_id,book_id,rating
1,1,341,3
2,1,88,1
3,1,672,2
4,1,681,4
5,1,404,4
6,1,61,3
7,1,684,4
8,1,265,3
9,1,120,4
10,1,667,3
11,1,188,3
12,1,437,3
13,1,380,4
14,1,172,3
15,1,129,2
16,1,226,3
17,1,733,5
18,1,980,5
19,1,151,4
20,1,792,3
21,1,934,5
22,1,902,5
23,1,604,4
24,1,949,3
25,1,735,3
26,1,996,2
27,1,527,5
28,1,328,4
29,1,906,3
30,1,472,3
31,1,422,4
32,1,76,3
33,1,562,5
34,1,818,5
35,1,161,4
36,1,469,3
37,1,365,4
38,1,484,4
39,1,872,4
40,1,430,2
41,1,399,3
42,1,736,2
43,1,790,4
44,1,861,3
45,1,353,3
46,1,43,3
47,1,458,4
48,1,80,3
49,1,708,5
50,1,645,4
51,1,602,3
52,1,427,4
53,1,777,1
54,1,938,5
55,1,216,4
56,1,463,5
57,1,479,2
58,1,727,4
59,1,516,4
60,1,159,5
61,1,987,4
62,1,752,4
63,1,189,3
64,1,711,3
65,1,833,4
66,1,668,3
67,1,532,1
68,1,489,5
69,1,66,5
70,1,655,3
71,1,786,4
72,1,348,3
73,1,891,4
74,1,420,3
75,1,981,4
76,1,359,4
77,1,845,5
78,1,320,3
79,1,729,5
80,1,607,3
81,1,187,2
82,1,725,4
83,1,453,3
84,2,832,2
85,2,389,4
86,2,355,3
87,2,915,5
88,2,760,3
89,2,131,3
90,2,700,5
91,2,443,3
92,2,902,3
93,2,702,3
94,2,962,3
95,2,186,1
96,2,879,2
97,2,236,3
98,2,142,2
99,2,839,4
100,2,295,4
101,2,490,3
102,2,494,3
103,2,172,4
104,2,693,5
105,2,581,5
106,2,722,2
107,2,864,3
108,2,418,3
109,2,835,3
110,2,356,4
111,2,153,3
112,2,66,2
113,2,801,3
114,2,426,4
115,2,860,3
116,2,167,5
117,2,90,2
118,2,897,5
119,2,174,2
120,2,18,5
121,2,290,5
122,2,85,5
123,2,118,5
124,2,251,5
125,2,314,4
126,2,792,5
127,2,405,3
128,2,975,4
129,2,996,4
130,2,274,5
131,2,712,4
132,2,31,3
133,2,210,4
134,2,267,3
135,2,232,3
136,2,755,4
137,2,121,3
138,2,148,3
139,2,504,3
140,2,842,3
141,2,999,3
142,2,908,3
143,2,627,4
144,2,14,3
145,2,298,5
146,2,765,5
147,2,419,4
148,2,489,3
149,2,699,4
150,2,192,5
151,2,278,4
152,2,21,5
153,2,303,4
154,2,920,4
155,2,6,3
156,2,318,4
157,2,672,3
158,2,571,4
159,2,924,5
160,2,276,3
161,2,110,4
162,2,872,2
163,2,983,4
164,2,363,2
165,2,474,5
166,2,730,3
167,2,834,5
168,2,952,5
169,2,44,4
170,2,582,5
171,2,850,5
172,2,737,5
173,2,492,3
174,2,227,4
175,2,42,2
176,3,697,5
177,3,298,4
178,3,265,3
179,3,464,2
180,3,13,3
181,3,294,5
182,3,5,4
183,3,297,5
184,3,859,4
185,3,611,4
186,3,8,3
187,3,579,5
188,3,111,3
189,3,779,4
190,3,451,4
191,3,95,4
192,3,123,5
193,3,109,3
194,3,726,4
195,3,678,3
196,3,32,4
197,3,450,3
198,3,195,3
199,3,255,3
200,3,592,3
201,3,128,3
202,3,453,4
203,3,150,4
204,3,857,3
205,3,750,3
206,3,677,3
207,3,519,4
208,3,627,3
209,3,120,2
210,3,474,3
211,3,313,4
212,3,768,3
213,3,82,4
214,3,529,4
215,3,344,4
216,3,819,4
217,3,843,4
218,3,136,3
219,3,684,5
220,3,390,4
221,3,531,3
222,3,141,4
223,3,961,3
224,3,731,4
225,3,999,4
226,3,832,5
227,3,598,5
228,3,83,4
229,3,958,4
230,3,503,5
231,3,169,3
232,3,424,5
233,3,348,4
234,3,927,3
235,3,538,2
236,3,705,5
237,3,717,2
238,3,551,3
239,3,414,3
240,3,555,3
241,3,841,3
242,3,121,4
243,3,315,1
244,3,700,5
245,3,964,5
246,3,722,3
247,3,698,3
248,3,217,4
249,3,155,3
250,3,753,3
251,3,365,5
252,3,860,5
253,3,432,5
254,3,913,3
255,3,457,4
256,3,663,4
257,3,418,3
258,3,152,4
259,3,471,1
260,3,367,3
261,3,618,4
262,3,117,3
263,3,442,3
264,3,632,5
265,3,668,5
266,3,901,4
267,3,625,5
268,3,511,5
269,3,429,3
270,3,692,3
271,3,476,3
272,3,302,2
273,3,116,5
274,3,824,3
275,3,991,4
276,3,892,3
277,4,370,4
278,4,858,5
279,4,456,1
280,4,9,4
281,4,682,4
282,4,41,1
283,4,701,3
284,4,576,5
285,4,116,4
286,4,627,3
287,4,482,5
288,4,458,3
289,4,616,5
290,4,800,3
291,4,916,4
292,4,451,3
293,4,412,3
294,4,509,5
295,4,328,3
296,4,305,2
297,4,784,3
298,4,714,4
299,4,223,5
300,4,311,5
301,4,25,3
302,4,795,3
303,4,541,3
304,4,380,4
305,4,345,5
306,4,514,4
307,4,78,4
308,4,141,3
309,4,177,5
310,4,332,4
311,4,483,3
312,4,715,3
313,4,997,2
314,4,564,3
315,4,416,1
316,4,174,4
317,4,667,4
318,4,781,3
319,4,320,3
320,4,992,5
321,4,314,5
322,4,594,4
323,4,353,3
324,4,383,5
325,4,606,3
326,4,827,3
327,4,13,5
328,4,971,4
329,4,165,4
330,4,226,4
331,4,914,4
332,4,505,3
333,4,8,3
334,4,991,3
335,4,871,3
336,4,249,5
337,4,179,3
338,4,22,4
339,4,214,5
340,4,387,5
341,4,744,3
342,4,657,4
343,4,893,5
344,4,188,4
345,4,812,5
346,4,55,5
347,4,820,5
348,4,818,3
349,4,882,4
350,4,268,3
351,4,578,4
352,4,277,5
353,4,832,4
354,4,102,3
355,4,293,2
356,4,986,5
357,4,519,3
358,4,501,2
359,4,170,3
360,4,599,2
361,4,525,4
362,4,613,4
363,4,414,3
364,4,731,2
365,4,443,3
366,4,562,3
367,4,255,2
368,4,634,4
369,5,988,4
370,5,5,4
371,5,601,5
372,5,462,5
373,5,576,3
374,5,149,4
375,5,276,1
376,5,358,5
377,5,301,4
378,5,924,3
379,5,434,2
380,5,913,5
381,5,380,3
382,5,856,4
383,5,524,3
384,5,305,5
385,5,253,3
386,5,908,3
387,5,234,5
388,5,468,5
389,5,243,3
390,5,314,4
391,5,511,4
392,5,898,5
393,5,788,3
394,5,312,4
395,5,975,4
396,5,484,4
397,5,684,5
398,5,87,4
399,5,227,3
400,5,289,5
401,5,701,5
402,5,451,5
403,5,554,2
404,5,559,3
405,5,763,4
406,5,450,1
407,5,399,5
408,5,210,3
409,5,102,4
410,5,999,5
411,5,847,3
412,5,438,3
413,5,724,4
414,5,821,4
415,5,457,3
416,5,187,4
417,5,994,5
418,5,609,4
419,5,984,3
420,5,885,3
421,5,880,3
422,5,31,3
423,5,445,3
424,5,966,4
425,5,215,3
426,5,107,5
427,5,470,3
428,5,138,2
429,5,602,5
430,5,642,5
431,5,265,3
432,5,882,3
433,5,2,3
434,5,161,4
435,5,20,4
436,5,453,3
437,5,308,2
438,5,183,4
439,5,182,5
440,5,830,4
441,5,677,4
442,5,790,3
443,5,955,3
444,5,884,3
445,5,965,5
446,5,493,5
447,5,9,5
448,5,274,5
449,5,972,5
450,5,379,5
451,5,235,2
452,5,252,3
453,5,247,3
454,5,80,4
455,5,46,2
456,5,27,5
457,5,782,4
458,5,133,4
459,5,103,3
460,5,671,3
461,5,144,3
462,5,214,5
463,5,917,4
464,5,838,4
465,5,225,3
466,5,810,3
467,6,532,3
468,6,366,5
469,6,159,5
470,6,984,3
471,6,163,4
472,6,971,3
473,6,461,3
474,6,125,3
475,6,974,3
476,6,86,4
477,6,796,5
478,6,767,3
479,6,169,4
480,6,99,4
481,6,27,5
482,6,239,4
483,6,650,3
484,6,150,4
485,6,367,3
486,6,50,5
487,6,70,3
488,6,58,4
489,6,781,1
490,6,948,3
491,6,843,5
492,6,56,4
